year,applications,change
1995,18067,1
1996,19418,1.0747772181325068
1997,25507,1.4118005202856037
1998,42979,2.3788675485692146
1999,47513,2.629822328001328
2000,19750,1.093153262854929
2001,21854,1.209608678806664
2002,26987,1.4937178280843526
2003,21759,1.204350473238501
2004,15061,0.833619305916865
2005,10795,0.5974982011402004
2006,11173,0.6184203243482592
2007,10844,0.6002103282227265
2008,16606,0.9191343333148835
2009,16005,0.8858692644047158
2010,15567,0.8616261692588698
2011,22551,1.2481873028172912
2012,28631,1.58471245917972
2013,21465,1.1880777107433442
2014,23765,1.3153816350251841
2015,39523,2.187579564952676
2016,27207,1.5058947251895722
2017,18088,1.0011623401782255
2018,15255,0.8443571151823767
