year,rate,change
1995,4.233248824590332,1
1996,4.656077855543247,1.0998828673846814
1997,5.199310216483015,1.2282080340472716
1998,3.856183091109297,0.9109275761701712
1999,2.722521589213511,0.64312817460641
2000,1.8,0.42520533863827226
2001,1.7,0.4015828198250349
2002,2.5,0.5905629703309337
2003,3.7,0.8740331960897819
2004,3.9,0.9212782337162565
2005,3.763300015100122,0.8889862540655903
2006,3.3324736060341036,0.7872142045315752
2007,2.766381605416586,0.6534890151854704
2008,2.5772838258776902,0.6088193566384806
2009,3.7012759265208475,0.8743346020722121
2010,3.515833163501322,0.8305283504901376
2011,2.842815167047661,0.6715445476613985
2012,2.905313078098748,0.6863081284573218
2013,3.158158448763203,0.7460365737109323
2014,3.043760761978693,0.7190129586283531
2015,3.1783144742998437,0.7507979346353263
2016,3.323141005539644,0.7850096092240072
2017,3.185718174087392,0.7525468750105155
2018,2.628456231411457,0.6209075677628808
